utterance_id	speaker	contrast	word	label	text
en_S001_c01_01	S001	abstract	abstract	1	I read the abstract before the full article.
en_S001_c01_02	S001	abstract	abstract	1	It's hard to abstract the main idea from his long story.
en_S001_c01_03	S001	abstract	abstract	1	She skimmed the abstract quickly before the seminar began.
en_S001_c01_04	S001	abstract	abstract	2	He tried to abstract the key points for his summary later.
en_S001_c02_01	S001	address	address	1	The form includes the address in the middle section.
en_S001_c02_02	S001	address	address	2	We need to address the noise problem in the room.
en_S001_c02_03	S001	address	address	2	The home address on the form matches his student record.
en_S001_c02_04	S001	address	address	2	We should address the main concern before discussing details.
en_S001_c03_01	S001	conduct	conduct	1	His conduct in the meeting surprised everyone.
en_S001_c03_02	S001	conduct	conduct	2	They will conduct a short interview this afternoon.
en_S001_c03_03	S001	conduct	conduct	1	Her professional conduct in the interview impressed the committee.
en_S001_c03_04	S001	conduct	conduct	2	They plan to conduct the final test after lunch today.
en_S001_c04_01	S001	discharge	discharge	1	The hospital handled the discharge without delay.
en_S001_c04_02	S001	discharge	discharge	2	They will discharge the patient later today.
en_S001_c04_03	S001	discharge	discharge	1	The early discharge of the patient surprised the medical staff.
en_S001_c04_04	S001	discharge	discharge	1	Nurses sometimes discharge patients once all documents are ready.
en_S001_c05_01	S001	discount	discount	1	The store offered a discount during the weekend sale.
en_S001_c05_02	S001	discount	discount	2	Some people discount his advice too quickly.
en_S001_c05_03	S001	discount	discount	1	The student discount on tickets makes the event more affordable.
en_S001_c05_04	S001	discount	discount	1	Some reviewers discount minor flaws when the overall quality is high.
en_S001_c06_01	S001	impact	impact	1	The heavy rain had a strong impact on our plan.
en_S001_c06_02	S001	impact	impact	2	Lack of sleep can impact your mood all day.
en_S001_c06_03	S001	impact	impact	1	The long-term impact of the policy remains difficult to predict.
en_S001_c06_04	S001	impact	impact	1	Budget cuts may impact the quality of basic services over time.
en_S001_c07_01	S001	import	import	1	The price of import goods increased this month.
en_S001_c07_02	S001	import	import	1	They import fresh fruit from overseas every week.
en_S001_c07_03	S001	import	import	1	The latest import from Italy sold out within a few days.
en_S001_c07_04	S001	import	import	1	Local companies import high-quality materials for this project.
en_S001_c08_01	S001	increase	increase	1	The sudden increase in traffic slowed the bus down.
en_S001_c08_02	S001	increase	increase	2	We need to increase the room temperature a little.
en_S001_c08_03	S001	increase	increase	1	The sharp increase in rent worried many residents in the area.
en_S001_c08_04	S001	increase	increase	2	We hope to increase the sample size in the next experiment.
en_S001_c09_01	S001	insert	insert	1	The magazine includes an insert with photos inside.
en_S001_c09_02	S001	insert	insert	1	He tried to insert the card into the slot slowly.
en_S001_c09_03	S001	insert	insert	1	A small insert in the magazine explains the updated rules.
en_S001_c09_04	S001	insert	insert	1	He decided to insert a short example into the presentation slides.
en_S001_c10_01	S001	insult	insult	1	The joke became an insult when he repeated it.
en_S001_c10_02	S001	insult	insult	2	They didn’t mean to insult him during the talk.
en_S001_c10_03	S001	insult	insult	1	That comment sounded like an insult to everyone at the table.
en_S001_c10_04	S001	insult	insult	2	They never meant to insult their colleagues during the discussion.
en_S001_c11_01	S001	permit	permit	1	The parking area requires a permit for long stays.
en_S001_c11_02	S001	permit	permit	2	Most hotels permit smoking only on the balcony.
en_S001_c11_03	S001	permit	permit	1	A special permit for filming is required inside the building.
en_S001_c11_04	S001	permit	permit	2	Some museums permit visitors to take photos without flash.
en_S001_c12_01	S001	project	project	1	The final project caused a lot of stress for students.
en_S001_c12_02	S001	project	project	2	Actors must project their voices during a play.
en_S001_c12_03	S001	project	project	1	The new project in the lab focuses on child language learning.
en_S001_c12_04	S001	project	project	2	Good presenters project their voices clearly in large classrooms.
en_S001_c13_01	S001	survey	survey	1	The short survey included only five items.
en_S001_c13_02	S001	survey	survey	2	Workers will survey the house before renovation.
en_S001_c13_03	S001	survey	survey	1	The online survey about study habits only takes a few minutes.
en_S001_c13_04	S001	survey	survey	2	Engineers will survey the bridge again after the heavy rain.
en_S001_c14_01	S001	transport	transport	1	Public transport in the city runs very smoothly.
en_S001_c14_02	S001	transport	transport	2	Workers will transport the boxes to another floor.
en_S001_c14_03	S001	transport	transport	1	Public transport in this region often becomes crowded at rush hour.
en_S001_c14_04	S001	transport	transport	1	Volunteers will transport the equipment to the main hall tomorrow.
en_S001_c15_01	S001	upset	upset	1	The emotional upset can affect you for a long time.
en_S001_c15_02	S001	upset	upset	2	Loud noises can upset the baby easily.
en_S001_c15_03	S001	upset	upset	1	The unexpected defeat was a serious upset for the favorite team.
en_S001_c15_04	S001	upset	upset	2	Harsh criticism can upset even very experienced researchers.
en_S002_c01_01	S002	abstract	abstract	1	I read the abstract before the full article.
en_S002_c01_02	S002	abstract	abstract	2	It's hard to abstract the main idea from his long story.
en_S002_c01_03	S002	abstract	abstract	1	She skimmed the abstract quickly before the seminar began.
en_S002_c01_04	S002	abstract	abstract	2	He tried to abstract the key points for his summary later.
en_S002_c02_01	S002	address	address	2	The form includes the address in the middle section.
en_S002_c02_02	S002	address	address	2	We need to address the noise problem in the room.
en_S002_c02_03	S002	address	address	1	The home address on the form matches his student record.
en_S002_c02_04	S002	address	address	2	We should address the main concern before discussing details.
en_S002_c03_01	S002	conduct	conduct	1	His conduct in the meeting surprised everyone.
en_S002_c03_02	S002	conduct	conduct	2	They will conduct a short interview this afternoon.
en_S002_c03_03	S002	conduct	conduct	1	Her professional conduct in the interview impressed the committee.
en_S002_c03_04	S002	conduct	conduct	2	They plan to conduct the final test after lunch today.
en_S002_c04_01	S002	discharge	discharge	1	The hospital handled the discharge without delay.
en_S002_c04_02	S002	discharge	discharge	1	They will discharge the patient later today.
en_S002_c04_03	S002	discharge	discharge	1	The early discharge of the patient surprised the medical staff.
en_S002_c04_04	S002	discharge	discharge	1	Nurses sometimes discharge patients once all documents are ready.
en_S002_c05_01	S002	discount	discount	1	The store offered a discount during the weekend sale.
en_S002_c05_02	S002	discount	discount	1	Some people discount his advice too quickly.
en_S002_c05_03	S002	discount	discount	1	The student discount on tickets makes the event more affordable.
en_S002_c05_04	S002	discount	discount	1	Some reviewers discount minor flaws when the overall quality is high.
en_S002_c06_01	S002	impact	impact	1	The heavy rain had a strong impact on our plan.
en_S002_c06_02	S002	impact	impact	1	Lack of sleep can impact your mood all day.
en_S002_c06_03	S002	impact	impact	1	The long-term impact of the policy remains difficult to predict.
en_S002_c06_04	S002	impact	impact	1	Budget cuts may impact the quality of basic services over time.
en_S002_c07_01	S002	import	import	1	The price of import goods increased this month.
en_S002_c07_02	S002	import	import	2	They import fresh fruit from overseas every week.
en_S002_c07_03	S002	import	import	1	The latest import from Italy sold out within a few days.
en_S002_c07_04	S002	import	import	1	Local companies import high-quality materials for this project.
en_S002_c08_01	S002	increase	increase	1	The sudden increase in traffic slowed the bus down.
en_S002_c08_02	S002	increase	increase	2	We need to increase the room temperature a little.
en_S002_c08_03	S002	increase	increase	1	The sharp increase in rent worried many residents in the area.
en_S002_c08_04	S002	increase	increase	2	We hope to increase the sample size in the next experiment.
en_S002_c09_01	S002	insert	insert	1	The magazine includes an insert with photos inside.
en_S002_c09_02	S002	insert	insert	2	He tried to insert the card into the slot slowly.
en_S002_c09_03	S002	insert	insert	1	A small insert in the magazine explains the updated rules.
en_S002_c09_04	S002	insert	insert	1	He decided to insert a short example into the presentation slides.
en_S002_c10_01	S002	insult	insult	1	The joke became an insult when he repeated it.
en_S002_c10_02	S002	insult	insult	2	They didn’t mean to insult him during the talk.
en_S002_c10_03	S002	insult	insult	1	That comment sounded like an insult to everyone at the table.
en_S002_c10_04	S002	insult	insult	2	They never meant to insult their colleagues during the discussion.
en_S002_c11_01	S002	permit	permit	1	The parking area requires a permit for long stays.
en_S002_c11_02	S002	permit	permit	2	Most hotels permit smoking only on the balcony.
en_S002_c11_03	S002	permit	permit	1	A special permit for filming is required inside the building.
en_S002_c11_04	S002	permit	permit	2	Some museums permit visitors to take photos without flash.
en_S002_c12_01	S002	project	project	1	The final project caused a lot of stress for students.
en_S002_c12_02	S002	project	project	2	Actors must project their voices during a play.
en_S002_c12_03	S002	project	project	1	The new project in the lab focuses on child language learning.
en_S002_c12_04	S002	project	project	2	Good presenters project their voices clearly in large classrooms.
en_S002_c13_01	S002	survey	survey	1	The short survey included only five items.
en_S002_c13_02	S002	survey	survey	1	Workers will survey the house before renovation.
en_S002_c13_03	S002	survey	survey	1	The online survey about study habits only takes a few minutes.
en_S002_c13_04	S002	survey	survey	1	Engineers will survey the bridge again after the heavy rain.
en_S002_c14_01	S002	transport	transport	1	Public transport in the city runs very smoothly.
en_S002_c14_02	S002	transport	transport	1	Workers will transport the boxes to another floor.
en_S002_c14_03	S002	transport	transport	1	Public transport in this region often becomes crowded at rush hour.
en_S002_c14_04	S002	transport	transport	1	Volunteers will transport the equipment to the main hall tomorrow.
en_S002_c15_01	S002	upset	upset	1	The emotional upset can affect you for a long time.
en_S002_c15_02	S002	upset	upset	2	Loud noises can upset the baby easily.
en_S002_c15_03	S002	upset	upset	1	The unexpected defeat was a serious upset for the favorite team.
en_S002_c15_04	S002	upset	upset	2	Harsh criticism can upset even very experienced researchers.
en_S003_c01_01	S003	abstract	abstract	1	I read the abstract before the full article.
en_S003_c01_02	S003	abstract	abstract	2	It's hard to abstract the main idea from his long story.
en_S003_c01_03	S003	abstract	abstract	1	She skimmed the abstract quickly before the seminar began.
en_S003_c01_04	S003	abstract	abstract	2	He tried to abstract the key points for his summary later.
en_S003_c02_01	S003	address	address	2	The form includes the address in the middle section.
en_S003_c02_02	S003	address	address	2	We need to address the noise problem in the room.
en_S003_c02_03	S003	address	address	2	The home address on the form matches his student record.
en_S003_c02_04	S003	address	address	2	We should address the main concern before discussing details.
en_S003_c03_01	S003	conduct	conduct	1	His conduct in the meeting surprised everyone.
en_S003_c03_02	S003	conduct	conduct	2	They will conduct a short interview this afternoon.
en_S003_c03_03	S003	conduct	conduct	1	Her professional conduct in the interview impressed the committee.
en_S003_c03_04	S003	conduct	conduct	2	They plan to conduct the final test after lunch today.
en_S003_c04_01	S003	discharge	discharge	1	The hospital handled the discharge without delay.
en_S003_c04_02	S003	discharge	discharge	2	They will discharge the patient later today.
