utterance_id	speaker	contrast	word	label	text
jp_S001_c01_01	S001	01_にじ	二字	1	二字のポスターがある
jp_S001_c01_02	S001	01_にじ	虹	0	虹のポスターがある
jp_S001_c02_01	S001	02_あめ	飴	0	飴が好きです
jp_S001_c02_02	S001	02_あめ	雨	1	雨が好きです
jp_S001_c03_01	S001	03_はし	端	0	端を持っています
jp_S001_c03_02	S001	03_はし	箸	1	箸を持っています
jp_S001_c04_01	S001	04_はし	橋	2	橋が長いです
jp_S001_c04_02	S001	04_はし	箸	1	箸が長いです
jp_S001_c05_01	S001	05_かき	柿	0	柿を見ました
jp_S001_c05_02	S001	05_かき	下記	1	下記を見ました
jp_S001_c06_01	S001	06_いし	石	2	石が固いです
jp_S001_c06_02	S001	06_いし	意志	1	意志が固いです
jp_S001_c07_01	S001	07_きが	気が	0	気が多いですね
jp_S001_c07_02	S001	07_きが	木が	1	木が多いですね
jp_S001_c08_01	S001	08_はなが	鼻が	0	鼻が高いです
jp_S001_c08_02	S001	08_はなが	花が	2	花が高いです
jp_S001_c09_01	S001	09_さけ	酒	0	酒がいいです
jp_S001_c09_02	S001	09_さけ	鮭	1	鮭がいいです
jp_S001_c10_01	S001	10_りょうしん	両唇	0	両唇が大切だ
jp_S001_c10_02	S001	10_りょうしん	両親	1	両親が大切だ
jp_S001_c11_01	S001	11_しめい	指名	0	指名を確認しました
jp_S001_c11_02	S001	11_しめい	氏名	1	氏名を確認しました
jp_S001_c12_01	S001	12_にほん	日本	2	日本があります
jp_S001_c12_02	S001	12_にほん	二本	1	二本があります
jp_S001_c13_01	S001	13_いけん	違憲	0	違憲と聞きました
jp_S001_c13_02	S001	13_いけん	意見	1	意見と聞きました
jp_S001_c14_01	S001	14_かう	買う	0	買う予定だ
jp_S001_c14_02	S001	14_かう	飼う	1	飼う予定だ
jp_S001_c15_01	S001	15_きる	着る	0	着るのが嫌だ
jp_S001_c15_02	S001	15_きる	切る	1	切るのが嫌だ
jp_S001_c16_01	S001	16_かえる	変える	0	変えるはずだ
jp_S001_c16_02	S001	16_かえる	帰る	1	帰るはずだ
jp_S001_c17_01	S001	17_かって	買って	0	買ってしまった
jp_S001_c17_02	S001	17_かって	勝って	1	勝ってしまった
jp_S001_c18_01	S001	18_きて	着て	0	着てください
jp_S001_c18_02	S001	18_きて	来て	1	来てください
jp_S001_c19_01	S001	19_よんで	呼んで	0	呼んでいる
jp_S001_c19_02	S001	19_よんで	読んで	1	読んでいる
jp_S001_c20_01	S001	20_いつか	五日	0	五日です
